Id	Prompt	Wavfile	RecResult
39634	Frag: Gibt es eine Hotelbar?	39634.wav	is there a hotel bar
39635	Sag: Mein Zimmer ist dreckig	39635.wav	my room is dirty
39636	Frag: einen Orangensaft	39636.wav	can i have a orange juice
39639	Frag: Apfelkuchen	39639.wav	can i hairdresser a pool
39641	Frag: Apfelkuchen	39641.wav	yes it's my please
39642	Sag: Ich möchte mit Visa bezahlen	39642.wav	can i pay with visa
39648	Frag: Wie viel kostet es?	39648.wav	how many
39649	Sag: Die Jeans ist zu teuer	39649.wav	the jeans is too nine
39650	Frag: 2 Musical-Tickets	39650.wav	two musical tickets please
39652	Frag: ein Ticket für Mittwochabend	39652.wav	i would like a ticket for monday evening
39655	Sag: Ich möchte in der fünften Reihe sitzen	39655.wav	i would like to sit in the fifth row
39657	Frag: 2 Tickets	39657.wav	can i have two tickets please
39658	Frag: Wo ist Piccadilly Circus?	39658.wav	where is the piccadilly circus
39664	Sag: Ich möchte mit Mastercard bezahlen	39664.wav	i would like pay with mastercard
39666	Frag: Twinzimmer	39666.wav	a twin room please
39667	Sag: Ich möchte mit Kreditkarte bezahlen	39667.wav	i would like pay with credit card please
39671	Sag: Ich möchte mit Postkarte bezahlen	39671.wav	lisbon
39672	Sag: Ich möchte mit Dollars bezahlen	39672.wav	i would like pay with dollars
39675	Frag: Zimmer für 4 Nächte	39675.wav	i want a room for four nights
39677	Sag: Ich möchte mit Mastercard bezahlen	39677.wav	i will
39678	Frag: Gibt es ein Fitnessstudio?	39678.wav	is there a fitness studio
39682	Frag: 4 Tickets für Starlight Express	39682.wav	thirty four tickets for starlight express
39684	Frag: ein Ticket nach Westminster	39684.wav	a ticket to westminster
39687	Sag: Ich möchte mit Postkarte bezahlen	39687.wav	i would like to pay be post card
39690	Sag: Ich möchte mit Kreditkarte bezahlen	39690.wav	can i pay be please
39694	Frag: ein Ticket zum Piccadilly Circus	39694.wav	you can't use help at the silver level
39695	Frag: ein Ticket zum Piccadilly Circus	39695.wav	i am from can i have tickets for the piccadilly circus
39701	Sag: Ich heisse Silvia	39701.wav	my name is silvia
39702	Sag: Die Hauptstadt von Frankreich ist Paris	39702.wav	the capital from france is paris
39703	Sag: Ich gehe in die Ferien	39703.wav	i go into the holidays
39704	Sag: Ich gehe in die Ferien	39704.wav	i go is have holidays
39707	Frag: Einzelzimmer	39707.wav	thirty a single room
39708	Frag: Gibt es ein Hotelrestaurant?	39708.wav	is there a hotel restaurant
39709	Sag: Ich habe keine Reservation	39709.wav	i have a reservation
39710	Sag: Ich habe keine Reservation	39710.wav	i do not have a reservation
39714	Frag: Zimmer für 1 Woche	39714.wav	can i a room for one week
39718	Frag: Haarföhn	39718.wav	hairdresser
39719	Frag: Zimmer für 4 Nächte	39719.wav	a room for four nights
39720	Frag: Doppelzimmer	39720.wav	i would like a double room
39721	Frag: Gibt es einen Coiffeur?	39721.wav	is there a hairdresser
39722	Frag: Zimmer für 2 Nächte	39722.wav	a room for two nights a room for two nights
39726	Sag: Ich bin aus der Türkei	39726.wav	i'm from turkey
39727	Sag: Ich habe 3 ältere Schwestern	39727.wav	i have three sisters i have three tickets for the middle
39728	Sag: Ich habe 3 ältere Schwestern	39728.wav	i have three older sisters
39729	Sag: Ich gehe in die Ferien	39729.wav	piccadilly please
39732	Sag: Ich bin aus Irland	39732.wav	i'm from ireland
39740	Sag: Ich bin aus Österreich	39740.wav	i'm from austria
39741	Sag: Ich habe 3 ältere Brüder	39741.wav	i have three older brothers
39742	Sag: Ich gehe in die Ferien	39742.wav	a car
39744	Frag: Zimmer für 1 Woche	39744.wav	a room for one week
39747	Sag: Ich habe keine Reservation	39747.wav	i have a reservation
39750	Sag: Ich habe keine Reservation	39750.wav	leave formula
39751	Sag: Ich bin aus Spanien	39751.wav	i am from france
39752	Sag: Spanien ist in Europa	39752.wav	steak is in europe
39754	Sag: Ich habe 3 Brüder	39754.wav	i have three brothers
39756	Sag: Dies ist mein Pass	39756.wav	this is my passport
39758	Sag: Ich bin aus Frankreich	39758.wav	i am from france
39759	Sag: Die Hauptstadt von Frankreich ist Paris	39759.wav	the capital of france is paris
39763	Sag: Ich heisse Stephanie	39763.wav	my name is stephanie
39764	Sag: Deutschland ist nicht in Afrika	39764.wav	germany is not in africa
39767	Sag: Ich gehe in die Ferien	39767.wav	i going into holiday
39768	Sag: Ich gehe in die Ferien	39768.wav	i go at holidays
39769	Sag: Ich heisse Andy	39769.wav	my name is andy
39770	Sag: Ich bin aus England	39770.wav	i am from england
39772	Sag: Ich bin aus der Schweiz	39772.wav	i'm from switzerland
39774	Sag: Die Hauptstadt von der Schweiz ist Bern	39774.wav	the capital of switzerland is bern
39777	Sag: Dies ist mein Pass	39777.wav	this is my passport
39779	Frag: Zimmer für 5 Nächte	39779.wav	is there any a room for five nights
39782	Sag: Ich habe keine Reservation	39782.wav	i have a reservation
39785	Sag: Ich habe keine Reservation	39785.wav	i don't have a reservation
39787	Sag: Ich heisse Silvia	39787.wav	my name is silvia
39789	Sag: Ich bin aus der Schweiz	39789.wav	i am from switzerland
39791	Sag: Ich gehe in die Ferien	39791.wav	i going on holidays
39792	Sag: Dies ist mein Pass	39792.wav	this is my passport
39794	Sag: Die Hauptstadt von der Türkei ist Ankara	39794.wav	the capital from turkey is ankara
39795	Sag: Ich habe 2 jüngere Schwestern	39795.wav	i have three younger sisters well done
39798	Sag: Dies ist mein Pass	39798.wav	that's my passport
39801	Sag: Italien ist in Europa	39801.wav	italy is in europe
39802	Sag: Die Hauptstadt von Italien ist Rom	39802.wav	the capital of italy is rome
39803	Sag: Ich habe 3 ältere Schwestern	39803.wav	i have three older sisters
39804	Sag: Dies ist mein Pass	39804.wav	this is my passport
39806	Frag: 3 Musical-Tickets	39806.wav	three musical tickets
39807	Frag: 3 Musical-Tickets	39807.wav	i would like to buy three musical tickets
39808	Frag: 3 Tickets für Billy Elliot	39808.wav	three tickets for billy elliot elliot
39809	Frag: 3 Tickets für Billy Elliot	39809.wav	i want three tickets for billy elliot
39810	Sag: Ich möchte in der neunten Reihe sitzen	39810.wav	i would like to sit in the ninth row
39812	Frag: Zimmer für 6 Nächte	39812.wav	a room for six nights
39813	Sag: Ich möchte mit Kreditkarte bezahlen	39813.wav	i buy be credit card
39817	Frag: Zimmer für 6 Nächte	39817.wav	can i can buy a room for six nights
39823	Sag: Ich möchte mit Mastercard bezahlen	39823.wav	i would pay be mastercard
39824	Sag: Ich möchte mit Mastercard bezahlen	39824.wav	i would pay with mastercard
39825	Frag: Gibt es einen Lebensmittelladen?	39825.wav	is there a boots please
39826	Frag: Gibt es einen Lebensmittelladen?	39826.wav	thirty shop
39827	Sag: Ich habe keine Reservation	39827.wav	i have a reservation
39831	Frag: ein Ticket zum Green Park	39831.wav	hello lisbon
39832	Sag: Ich möchte mit Visa bezahlen	39832.wav	i pay be tomorrow visa card
39833	Frag: Zimmer für 3 Nächte	39833.wav	a room for three nights
39834	Frag: Twinzimmer	39834.wav	i'd like a double room please
39836	Frag: Gibt es einen Coiffeur?	39836.wav	i have a bar the hairdryer
39840	Frag: Wo ist die Hotelbar?	39840.wav	where is the bar
39841	Sag: Im Zimmer hat es keinen Haarföhn	39841.wav	a have no hairdryer in the room
39842	Frag: Einzelzimmer	39842.wav	i would like a single room
39846	Sag: Ich habe keine Reservation	39846.wav	i haven't got a reservation
39849	Frag: Wo ist der Lift?	39849.wav	where is the lift
39850	Sag: Im Zimmer hat es keinen Haarföhn	39850.wav	my room there is no a hairdryer
39854	Sag: Ich habe keine Reservation	39854.wav	i do not have a reservation
39855	Frag: Einzelzimmer	39855.wav	a single room
39856	Sag: Ich möchte mit Kreditkarte bezahlen	39856.wav	i would like to pay by credit card
39857	Frag: Gibt es eine Hotelbar?	39857.wav	is there a bar
39859	Sag: Ich möchte mit Postkarte bezahlen	39859.wav	i would like to pay by post card
39860	Frag: Gibt es einen Lebensmittelladen?	39860.wav	is there a green grocer
39861	Frag: Wo ist der Lebensmittelladen?	39861.wav	where is the green grocer
39862	Sag: Ich habe keine Reservation	39862.wav	i do not have a reservation
39863	Frag: Zimmer für 6 Nächte	39863.wav	i would like a room for six nights
39864	Frag: Einzelzimmer	39864.wav	a single room
39866	Sag: Das Badezimmer ist dreckig	39866.wav	the bathroom is dirty
39867	Sag: Im Zimmer hat es kein Shampoo	39867.wav	the room has no shampoo
39869	Frag: Zimmer für 3 Nächte	39869.wav	i would like a room for three nights
39871	Frag: Wo ist der Coiffeur?	39871.wav	where is the hairdresser
39872	Sag: Das Zimmer ist dreckig	39872.wav	the room is dirty
39875	Frag: Junior Suite	39875.wav	i would like a junior suite
39876	Frag: Gibt es ein Fitnessstudio?	39876.wav	is there a fitness studio
39877	Frag: 6 Tickets nach London	39877.wav	i would like six tickets to london
39878	Sag: Ich heisse Andrew	39878.wav	my name is andrew
39879	Frag: 2 Tickets nach London	39879.wav	i would like two tickets to london
39880	Sag: Ich möchte um 15 Uhr morgen abreisen	39880.wav	i want to leave at eighteen am
39881	Sag: Ich möchte um 15 Uhr morgen abreisen	39881.wav	i want to leave at three pm tomorrow
39882	Sag: Ich bin aus der Türkei	39882.wav	i'm from turkey
39885	Frag: billigeres Ticket	39885.wav	i want a cheaper ticket
39886	Sag: Ich bin aus Australien	39886.wav	i am from australia
39887	Sag: Ich möchte am Mittwochabend abreisen	39887.wav	i want to leave wednesday evening
39888	Sag: Ich bin aus Frankreich	39888.wav	i'm from france
39890	Sag: Ich heisse John	39890.wav	my name is john
39891	Sag: Ich bin aus Australien	39891.wav	i'm from australia
39894	Frag: 5 Tickets nach London	39894.wav	i would like five tickets to london
39897	Sag: Ich heisse Erica	39897.wav	my name is erica
39898	Frag: 5 Tickets nach London	39898.wav	i would like five tickets to london
39899	Sag: Ich möchte am Donnerstag abreisen	39899.wav	i want to leave at thursday
39901	Frag: 5 Tickets nach London	39901.wav	i'd like five tickets to london
39902	Sag: Ich heisse Barbara	39902.wav	my name is barbara
39904	Sag: Ich heisse Patrick	39904.wav	my name is patrick
39905	Sag: Die Hauptstadt von der Schweiz ist Bern	39905.wav	the capital of switzerland is bern
39906	Sag: Ich habe 3 Schwestern	39906.wav	i have three sisters
39912	Sag: Ich heisse Andrew	39912.wav	my name is andrew
39913	Sag: Ich bin aus Irland	39913.wav	i am from ireland
39915	Frag: eine Limonade	39915.wav	i'd like a lemonade
39916	Frag: meinen Hamburger rare	39916.wav	i'd like my hamburger rare
39920	Frag: eine Limonade	39920.wav	i'd like a lemonade
39922	Frag: Bohnen	39922.wav	i'd like beans
39923	Frag: Schokoladenglace	39923.wav	i'd like the chocolate ice cream
39925	Frag: ein Steak	39925.wav	i would like a steak
39930	Frag: Ich möchte die Dessertkarte	39930.wav	i want the dessert menu please
39934	Frag: ein Wasser ohne Kohlensäure	39934.wav	i want a carbonated water without
39937	Frag: Ich möchte die Dessertkarte	39937.wav	the dessert menu please
39938	Frag: Ich möchte die Rechnung	39938.wav	i'd like the bill please
39941	Frag: ein Wasser ohne Kohlensäure	39941.wav	i want a still water
39942	Frag: mein Steak blau	39942.wav	i'd like my steak blue
39943	Frag: Ich möchte die Dessertkarte	39943.wav	the dessert menu
39945	Sag: Ich möchte mit Kreditkarte bezahlen	39945.wav	i want to pay by credit card
39948	Frag: einen gemischten Salat	39948.wav	i'd like a mixed salad
39950	Frag: Ich möchte die Rechnung	39950.wav	i want the bill
39951	Frag: einen Kaffee	39951.wav	i'd like a coffee
39952	Frag: mein Steak durchgebraten	39952.wav	i would like my steak well done
39953	Sag: Dies ist nicht was ich bestellt habe	39953.wav	this is not what i ordered
39954	Sag: Eine Reduzierung ist akzeptabel	39954.wav	reduction is acceptable
39958	Frag: Wo ist Madame Tussauds?	39958.wav	where is madame tussauds
39960	Frag: Wo ist das British Museum?	39960.wav	where is the british museum where is the british museum
39963	Sag: Ich muss gehen	39963.wav	i want to go
39964	Sag: Ich muss gehen	39964.wav	sorry i need to go
39965	Frag: Wo ist das London Eye?	39965.wav	where is the london eye
39968	Frag: Wo ist Big Ben?	39968.wav	where is the big ben
39972	Sag: Ich habe keine Reservation	39972.wav	no i do not have a reservation
39973	Frag: Suite	39973.wav	a suite
39974	Frag: Wo ist das Science Museum?	39974.wav	where is the science museum
39977	Frag: Wo ist das London Eye?	39977.wav	where is the london eye
39979	Frag: Wo ist Big Ben?	39979.wav	where is the big ben
39982	Frag: Wo ist die National Gallery?	39982.wav	where is the national gallery
39984	Frag: Wo ist der Zoo?	39984.wav	where is the zoo where is the zoo
39986	Sag: Saint Pauls Cathedral ist nahe der Bank of England	39986.wav	shampoo capital is near bank of england
39988	Sag: Ich bin aus Kanada	39988.wav	i am from canada
39990	Sag: Die Hauptstadt von der Türkei ist Ankara	39990.wav	the capital of turkey is ankara
39993	Frag: Zimmer für 4 Nächte	39993.wav	a room for four nights
39994	Sag: Mir geht es gut	39994.wav	i'm fine
39996	Frag: weisse Stiefel	39996.wav	sunday white boots
39998	Frag: Jeans	39998.wav	i want a
39999	Frag: grüne Jeans	39999.wav	i want a twin zimmer
40000	Frag: Wie viel kostet es?	40000.wav	this is too far
40001	Frag: Wie viel kostet es?	40001.wav	i am isn't africa
40003	Sag: Ich habe keine Reservation	40003.wav	i don't have a reservation
40005	Sag: Ich habe keine Reservation	40005.wav	no i do not have a reservation
40006	Frag: Zimmer für 5 Nächte	40006.wav	a room for five nights
40007	Sag: Ich möchte mit Postkarte bezahlen	40007.wav	can i pay with post card
40012	Frag: Gibt es einen Lift?	40012.wav	there isn't a fundamentalism
40015	Sag: Ich möchte um 22 Uhr morgen abreisen	40015.wav	i would like to leave tomorrow at wednesday to
40017	Sag: Ich bin aus Frankreich	40017.wav	i want a double room juice double room
40019	Frag: 2 Tickets nach London	40019.wav	two tickets to london
40020	Sag: Ich möchte am Donnerstagnachmittag abreisen	40020.wav	i would like leave at thursday afternoon
40021	Sag: Ich heisse Erica	40021.wav	my name is erica
40022	Sag: Ich bin aus Portugal	40022.wav	i'm from portugal
40023	Frag: ein Ticket zum Green Park	40023.wav	one ticket to green park
40024	Frag: ein Ticket zum Green Park	40024.wav	a ticket to the green park
40027	Frag: ein Ticket zum Green Park	40027.wav	i would like a ticket to the green park
40028	Sag: Ich möchte mit Mastercard bezahlen	40028.wav	can i pay with mastercard
40030	Frag: Twinzimmer	40030.wav	a twin from
40033	Sag: Das Zimmer ist dreckig	40033.wav	the room is wrangler
40036	Frag: Wo kann ich einen Haarföhn kaufen?	40036.wav	where can i pay a hair dryer
40037	Sag: Ich heisse James	40037.wav	my name is james
40040	Sag: Ich habe 4 jüngere Schwestern	40040.wav	i have four younger sis sisters
40045	Sag: Ich habe keine Reservation	40045.wav	i don't have a reservation
40046	Sag: Ich habe keine Reservation	40046.wav	i don't have a reservation
40051	Frag: Zimmer für 6 Nächte	40051.wav	where
40052	Frag: Zimmer für 6 Nächte	40052.wav	saturday
40053	Frag: Zimmer für 3 Nächte	40053.wav	i want a room for three nights
40054	Sag: Ich möchte mit Visa bezahlen	40054.wav	can i pay with visa
40055	Sag: Ich möchte am Sonntagmorgen abreisen	40055.wav	i would like to leave on sunday morning
40056	Frag: billiges Ticket	40056.wav	i want a cheaper ticket
40059	Sag: Ich heisse Maddalena	40059.wav	my name is maddalena
40060	Sag: Die Hauptstadt von Österreich ist Wien	40060.wav	the capital of austria is green
40061	Sag: Ich gehe in die Ferien	40061.wav	i want a steak
40065	Sag: Ich habe eine ältere Schwester	40065.wav	i have one older sister
40066	Sag: Dies ist mein Pass	40066.wav	this is my passport
40067	Frag: Wo ist die Oxford Street?	40067.wav	where is the oxford street
40068	Sag: Ich muss gehen	40068.wav	sorry i need go
40069	Frag: den Sonntagsbraten	40069.wav	i would like the sunday roast
40071	Frag: Custard Tart	40071.wav	i would like the custard tart
40073	Frag: Twinzimmer	40073.wav	i want a twin room
40074	Frag: Gibt es einen Coiffeur?	40074.wav	is there a hairdresser
40075	Frag: Wo ist der Coiffeur?	40075.wav	where is the hairdresser
40077	Sag: Im Zimmer hat es kein Duschgel	40077.wav	single room
40078	Frag: Grösse 43	40078.wav	thirty three
40079	Frag: ein Hemd	40079.wav	i want a shirt
40080	Frag: eine L	40080.wav	i am a large
40081	Sag: Das Hemd ist zu teuer	40081.wav	shirt is too expensive
40084	Frag: Wo ist der Tower?	40084.wav	where is the tower of london
40085	Sag: Marble Arch ist gegenüber dem Hyde Park	40085.wav	marble arch is suites carbonated to hyde park
40087	Sag: Ich möchte mit Postkarte bezahlen	40087.wav	can i pay with post please
40088	Frag: Zimmer für 3 Nächte	40088.wav	i want a room for three nights
40089	Sag: Ich möchte mit Postkarte bezahlen	40089.wav	can i pay with post card
40090	Sag: Das WC ist dreckig	40090.wav	the bathroom is jack
40092	Frag: 4 Musical-Tickets	40092.wav	i want four musical tickets
40094	Frag: Zimmer für 5 Nächte	40094.wav	i want a room for five nights
40096	Frag: Gibt es einen Lift?	40096.wav	is there a lift
40097	Frag: Zimmer für 7 Nächte	40097.wav	i want a room for seven nights
40098	Sag: Ich möchte mit Kreditkarte bezahlen	40098.wav	can i pay with the credit card
40101	Sag: Ich bin aus England	40101.wav	i'm from england
40103	Sag: Ich möchte um 19 Uhr morgen abreisen	40103.wav	i would like to leave at seven o'clock in the morning
40104	Sag: Ich bin aus Deutschland	40104.wav	i'm from germany
40105	Sag: Ich möchte am Montagnachmittag abreisen	40105.wav	i would like to leave on monday afternoon
40108	Frag: Wie viel kostet es?	40108.wav	how much is it
40109	Frag: billigeres Ticket	40109.wav	is there a door i don't know
40110	Frag: ein Ticket nach London	40110.wav	i want a ticket to london
40114	Sag: Ich habe 3 Brüder	40114.wav	i have three brothers
40116	Sag: Dies ist mein Pass	40116.wav	that's my passport
40117	Sag: Ich heisse Brian	40117.wav	my name is brian
40120	Sag: Dies ist mein Pass	40120.wav	yes it is my passport
40122	Sag: Ich bin aus der Türkei	40122.wav	i want i'm from turkey
40123	Sag: Ich habe 2 Brüder	40123.wav	i have two brothers
40124	Sag: Dies ist mein Pass	40124.wav	yes it is my passport
40125	Sag: Ich bin aus der Schweiz	40125.wav	i'm from switzerland
40126	Sag: Die Schweiz ist in Europa	40126.wav	switzerland is in the middle
40127	Sag: Ich habe eine ältere Schwester	40127.wav	i have one older sister
40128	Sag: Dies ist mein Pass	40128.wav	yes it is my passport
40130	Sag: Ich bin aus Italien	40130.wav	i'm from italy
40132	Sag: Ich habe 4 jüngere Schwestern	40132.wav	i have four younger sisters
40133	Sag: Dies ist mein Pass	40133.wav	yes it is my passport
40136	Sag: Dies ist mein Pass	40136.wav	yes it is my passport
40138	Sag: Ich heisse Mona	40138.wav	my name is mona
40140	Sag: Ich heisse Silvia	40140.wav	my name is silvia
40141	Sag: Portugal ist nicht in Afrika	40141.wav	portugal isn't in africa
40143	Sag: Ich habe 3 Schwestern	40143.wav	i have three sisters
40144	Sag: Dies ist mein Pass	40144.wav	yes it is my passport
40146	Sag: Ich möchte mit Pfund bezahlen	40146.wav	can i pay with pounds
40147	Frag: Wo ist der Geldautomat?	40147.wav	where is the eight seven
40149	Sag: Ich habe kleinere Note	40149.wav	i don't have smaller notes
40152	Frag: ein Ticket nach Westminster	40152.wav	i want a ticket to westminster
40155	Sag: Ich möchte mit Euros bezahlen	40155.wav	can i pay with euros
40158	Sag: Ich möchte mit Kreditkarte bezahlen	40158.wav	can i pay with credit carrots
40159	Sag: Ich möchte mit Kreditkarte bezahlen	40159.wav	can i pay with credit card
40160	Sag: Ich möchte am Mittwochabend gehen	40160.wav	i would like to go on wednesday evening
40161	Sag: Ich möchte in der vierten Reihe sitzen	40161.wav	i would like to sit in the fourth row
40163	Frag: ein Ticket für Samstagabend	40163.wav	i want tickets for sunday evening
40167	Frag: ein Ticket für Mamma Mia	40167.wav	i want a ticket for mamma mia
40168	Sag: Ich möchte in der zehnten Reihe sitzen	40168.wav	i want to sit in the ten row
40170	Frag: 2 Tickets für König der Löwen	40170.wav	i want two tickets for billy elliot
40173	Sag: Ich möchte am Donnerstagabend gehen	40173.wav	i would like to go on wednesday evening
40174	Sag: Ich möchte in der zehnten Reihe sitzen	40174.wav	i would like to sit in the tenth row
40175	Frag: 2 Musical-Tickets	40175.wav	i want to the musical tickets
40178	Sag: Ich möchte in der fünften Reihe sitzen	40178.wav	i would like to sit in the fifth row
40179	Frag: 2 Tickets	40179.wav	i need two tickets
40181	Frag: Tickets für das London Eye	40181.wav	i want tickets for the london eye
40182	Frag: eine Fanta	40182.wav	i want a fanta
40183	Frag: meinen Hamburger durchgebraten	40183.wav	i would like my hamburger well done
40184	Sag: Dies ist nicht was ich bestellt habe	40184.wav	this is not what i ordered
40185	Frag: Ich möchte die Dessertkarte	40185.wav	the dessert menu please
40186	Frag: Ich möchte die Rechnung	40186.wav	i would like the check
40187	Frag: ein Wasser ohne Kohlensäure	40187.wav	i would like a still water
40189	Frag: Ich möchte die Dessertkarte	40189.wav	the dessert menu please
40190	Frag: Ich möchte die Rechnung	40190.wav	i would like the check
40192	Frag: eine Limonade	40192.wav	i want blue
40196	Frag: eine Cola	40196.wav	i want street of pool
40201	Frag: Wo ist der Tower?	40201.wav	where is the tower bridge
40202	Sag: Es ist nahe der Bank of England	40202.wav	it's near the bank of england
40204	Frag: Wo ist die Tate Modern?	40204.wav	where is the tate modern
40207	Frag: weisse Stiefel	40207.wav	i want white boots
40208	Frag: ein Sweatshirt	40208.wav	i want a sweatshirt
40209	Frag: eine L	40209.wav	i need a large
40211	Sag du möchtest nicht: dieses Sweatshirt	40211.wav	i don't like this sweatshirt
40212	Sag, dass du es nicht möchtest	40212.wav	i don't want it
40213	Sag: Ich habe keine Reservation	40213.wav	no i don't have a reservation
40214	Sag: Ich habe keine Reservation	40214.wav	no i do not have a reservation
40215	Sag: Ich habe keine Reservation	40215.wav	no i do not have a reservation
40216	Sag: Ich habe keine Reservation	40216.wav	no i do not have a reservation
40217	Sag: Ich habe keine Reservation	40217.wav	i do not have a reservation
40220	Sag: Ich möchte mit Visa bezahlen	40220.wav	can i pay with visa
40223	Frag: 6 Tickets nach London	40223.wav	can i have a ticket to london
40225	Sag: Ich bin aus Österreich	40225.wav	i'm from austria
40226	Sag: Ich heisse Andy	40226.wav	my name is andy
40229	Sag: Ich habe eine ältere Schwester	40229.wav	i have one older sister
40231	Sag: Dies ist mein Pass	40231.wav	this is my passport
40232	Sag: Dies ist mein Pass	40232.wav	yes it is my passport
40233	Frag: ein Ticket nach Notting Hill	40233.wav	i would like a ticket to notting hill
40234	Sag: Ich möchte mit Postkarte bezahlen	40234.wav	i would like to pay by post card
40235	Sag: Ich möchte mit Postkarte bezahlen	40235.wav	i would like to pay with master card
40237	Frag: ein Ticket für Starlight Express	40237.wav	i want one ticket for starlight express
40238	Sag: Ich möchte vorne sitzen	40238.wav	i would like to sit in the eighth row
40241	Frag: eine Limonade	40241.wav	i want to leave
40243	Frag: Erbsen	40243.wav	i would like some please
40244	Frag: Ich möchte die Dessertkarte	40244.wav	the dessert menu please
40245	Frag: Wo ist das Naturhistorische Museum?	40245.wav	i want lisbon
40246	Frag: Sandalen	40246.wav	i would
40248	Frag: ein Hemd	40248.wav	i want a shirt
40250	Sag: Mir geht es gut	40250.wav	i'm fine
40251	Frag: Grösse 37	40251.wav	ah thirty seven
40252	Frag: ein Hemd	40252.wav	i want a shirt
40254	Frag: Wie viel kostet es?	40254.wav	how much does it cost
40257	Frag: Sandalen	40257.wav	i am looking for sandals
40258	Frag: ein Sweatshirt	40258.wav	i would like a sweatshirt
40261	Frag: Wo ist der Tower?	40261.wav	can you give me a near tower london
40262	Frag: Welcher Bus fährt dorthin?	40262.wav	which bus goes there
40263	Sag: Ich habe keine Reservation	40263.wav	i haven't got a reservation reservation
40264	Sag: Mir geht es gut	40264.wav	my name is brian
40265	Frag: Grösse 40	40265.wav	forty
40266	Frag: ein T-Shirt	40266.wav	i would like a shirt
40268	Frag: Wie viel kostet es?	40268.wav	how much cost
40273	Sag: Dies ist zu teuer	40273.wav	is too much expensive
40274	Sag: Mir geht es gut	40274.wav	i'm fine
40276	Frag: Ich möchte die Dessertkarte	40276.wav	can i have the dessert menu please
40277	Frag: Ich möchte die Rechnung	40277.wav	i would like the check
40278	Sag: Ich bin aus Amerika	40278.wav	i'm from america
40283	Sag: Dies ist mein Pass	40283.wav	this is my passport
40284	Frag: ein Ticket zum Green Park	40284.wav	can i have a ticket to the green park
40285	Sag: Ich möchte mit Dollars bezahlen	40285.wav	i would like to pay with dollars
40287	Frag: Wo ist das Naturhistorische Museum?	40287.wav	i am looking for the natural history museum
40290	Frag: Einzelzimmer	40290.wav	a single room please
40292	Sag: Ich möchte mit Postkarte bezahlen	40292.wav	i would like to pay with post card
40293	Frag: Gibt es einen Lebensmittelladen?	40293.wav	is there a grocery store
40294	Sag: Das WC ist dreckig	40294.wav	the toilet is dirty
