Id,RecResult
5539,double room
5540,single room
5541,i would like a single room
5542,can i pay with mastercard
5543,i want a room for one week
5544,i want a junior suite
5545,i would like a junior suite
5546,i want to pay with mastercard
5547,is there a hotel restaurant
5548,i want a room for two nights
5549,i want a single room
5550,a twin room please
5551,a single room please
5552,i want to pay with post card
5553,i want to pay with euros
5554,is there a fitness studio
5555,where is the fitness studio
5556,where is the fitness centre
5557,where is the fitness centre
5558,i want a room for seven nights
5559,i want a single room
5560,a single room please
5561,a single room please
5562,i want to pay with master
5563,i want to pay with mastercard
5564,is there a lift
5565,is there is the elevator
5566,is there a elevator
5567,where is the elevator
5568,where is the lift
5569,my toilet is a dirty
5570,my toilet is dirty
5571,where can i find a hairdryer
5572,where can i find a hairdryer
5573,where can i pay a hairdryer
5574,where can i pay a hairdryer
5575,where can i buy a hairdryer
5576,i want a hotel room for two nights
5577,i want a room for two nights
5578,i want a room for two nights
5579,i want a twin room
5580,i want to pay with mastercard
5581,yes
5582,i want to pay with mastercard
5583,there a hotel restaurant
5584,where is the hotel restaurant
5585,the room is dirty
5586,in my room is i
5587,my room haven't got a hairdryer
5588,my room haven't got a hairdryer
5589,i'm thirty
5590,i'm fine
5591,i am fine
5592,i want boots
5593,i want white boots
5594,thirty nine
5595,i want a tee shirt
5596,i i want a yellow t-shirt
5597,small
5598,i am a small
5599,how much is
5600,how much
5602,that's too expensive
5603,i want a room for two nights
5604,i want a room for two nights
5605,a room for two nights please
5606,a single room
5607,a single room please
5608,a single room please
5609,i want to pay with visa
5610,i want to pay with dollars
5611,i want to for i want to pay with dollars
5612,i want to pay with dollars
5613,is there a hotel bar
5614,where is the hotel bar
5615,where is the hotel bar
5616,where is the lift
5618,a room for six nights nights please
5619,a room for six nights please
5620,a single room please
5621,can i have a single room
5622,i want a single room please
5623,i want to pay with visa
5624,i want a room please
5625,i want the sunday roast
5626,i would like the sunday roast
5627,i want the sunday roast
5628,i would
5629,i want my sunday roast well done
5630,i would like my sunday roast well done
5631,i want carrots
5632,i want the dessert card
5633,i want a apple cake
5634,can i have the apple pie
5635,i want a
5636,i want to pay with credit card
5637,i want to pay with with credit card please
5638,can i pay with credit card
5639,can i have a room for five nights
5640,i want a room for five nights please
5641,i want a room for five nights please
5642,i want a suite please
5643,can i have a suite please
5644,i want a suite please
5645,i want to pay with credit card please
5646,can i pay with credit card
5647,is there a market
5649,is there a supermarket
5650,i want a room for one week
5651,a room for one week please
5652,a twin room please
5653,i want to pay with mastercard please
5654,can i pay with mastercard
5655,can i pay with dollars
5656,can i have a reservation
5657,i want to pay with euros
5658,is there a swimming pool
5659,is there a swimming pool
5660,where is the swimming pool
5661,the room is dirty
5662,where is the hairdryer
5663,i haven't got a hairdryer
5664,where is the hairdryer
5665,i want a room for four nights
5666,i want a twin room please
5667,i want to pay with mastercard
5668,can i pay with mastercard
5669,can i pay with credit card
5670,is there a gym ticket to london
5671,i live mashed australian
5672,is there a lift to london
5673,i want a room for two nights
5674,i want a suite please
5675,i want to pay with credit card please
5676,i want to pay with credit card please
5677,i want to pay with credit card
5678,a fitness studio
5679,is there a fitness studio
5680,is there a fitness centre
5681,i want a room for three nights
5682,i want a room for three nights
5683,i want a room for three nights
5684,i want a single room
5685,i want to pay with credit card
5686,can i pay with credit card
5687,is there a swimming pool
5688,is there a swimming
5689,is there a swimming pool
5690,where is the swimming pool
5691,where is the swimming pool
5692,i want a room for three nights
5693,i want a single room
5694,can i pay with credit card
5695,can i pay with post card
5696,is there a grocery store
5697,where is the grocery store
5698,where is the grocery store
5699,where is the grocery store
5700,i want a room for two nights
5701,i want a room for two nights
5702,i want a twin room
5703,can i pay with mastercard
5704,is there a lift
5705,is there an elevator
5706,is there a
5707,i want a a room for three nights
5708,i want a twin room
5709,i want to pay with credit card
5710,is there a fitness centre
5711,i want a room for seven nights
5712,i want a single room
5713,can i pay with mastercard
5714,is there a hotel bar
5715,where is the hotel bar
5716,i want a room for two nights
5717,i want a single room
5718,can i pay with post card
5719,is there a swimming pool
5720,where is the swimming pool
5721,my room is dirty
5722,where is the hairdryer
5723,do you have a hairdryer
5724,i want four tickets to london
5725,i want to leave on tuesday
5726,my name is janet
5727,i am from america
5729,where is the piccadilly circus
5730,which bus goes there
5731,the tower is near tower bridge
5732,can i have four tickets to london
5733,i want to leave on saturday evening
5734,i want to leave on saturday evening
5735,i would like to leave on saturday evening
5736,my name is barbara
5737,i am from france
5738,my name is john
5739,i am from italy
5740,the capital of italy is rome
5741,i have one brother
5742,i go on holidays
5743,i am on holiday
5744,that's my passport
5745,can i have a ticket to trafalgar square
5746,can i pay with credit card
5747,can i have three musical tickets
5748,i want to go on friday evening
5749,i would like to go on friday evening
5750,i want three tickets for the lion king
5751,i want to sit in the third row
5752,can i have a ticket for the science museum
5753,i need two tickets
5754,can i have one ticket to london
5755,i would like to leave at twenty o'clock
5756,i would like to leave at eight o'clock p m
5757,i want to leave at eight o'clock tomorrow
5758,my name is silvia
5759,i am from spain
5760,can i have three tickets to london
5761,i would like three tickets to london
5762,i would like two tickets to london please
5763,i would like to leave at ten o'clock tomorrow
5764,i would like to leave tomorrow
5765,i would like to leave tomorrow at seven ireland
5766,my name is michelle
5767,i am from scotland
5768,can i have five tickets to london
5769,i would like five tickets to london
5770,i would like to leave at eight o'clock tomorrow
5771,i would like to leave tomorrow at at eight o'clock a m
5772,i would like to leave at eight o'clock
5773,my name is nick
5774,i'm from turkey
5775,can i have four tickets to
5776,i would like four tickets to london
5777,can i have four tickets to london
5778,i want to leave tomorrow at four o'clock p m
5779,i would like to leave tomorrow at seven pm
5780,i would like to leave at three o'clock tomorrow
5781,my name is james
5782,i am from america
5783,i would like five tickets to london
5784,i would like to leave at friday morning
5785,i want to leave at friday morning
5786,my name is michelle
5787,i am from turkey
5788,i would like three tickets to london
5790,i would like to leave tomorrow at eleven a m
5791,my name is andrew
5792,i'm from portugal
5793,i want two tickets to london please
5794,i want two tickets to london please
5795,i would like to leave tomorrow at eleven o'clock
5796,my name is silvia
5797,i'm from germany
5798,i want five tickets to london please
5799,i would like to leave next week
5800,my name is john
5801,i am from spain
5803,my name is andy
5804,i'm from a
5805,italy is not in africa
5807,italy is in europe
5809,the capital of italy is rome
5810,i have four older brothers
5811,i have four older brothers
5813,i go in holidays
5814,i am on holidays
5815,that's my passport
5816,my name is michelle
5817,i am from swiss switzerland
5818,the capital of switzerland is bern
5819,the capital of switzerland is bern
5820,the capital of switzerland is bern
5821,i have two younger sisters
5822,i am on holidays
5823,that's my passport
5824,my name is erica
5825,i am from switzerland
5826,the capital of switzerland is bern
5827,i have two brothers
5828,i am on holidays
5829,that's my
5830,that's my passport
5831,my name is nick
5832,i am from france
5833,the capital of france is paris
5834,i have one older brothers
5835,i am on holidays
5836,that's my passport
5837,my name is thomas
5838,i am from italy
5839,the capital of italy is rome
5840,i have three older brothers
5841,i am on holidays
5842,that's my passport
5843,my name is stephanie
5844,i'm from turkey
5845,turkey is in europe
5846,the capital of turkey is ankara
5847,i have three younger brothers
5848,i am on holidays
5849,that's my passport
5850,my name
5851,my name is silvia
5852,i am from spain
5853,the capital of spain is madrid
5854,i have one younger sisters
5855,i am on holiday
5856,that's my passport
5857,i'm happy
5858,i'm fine
5859,i want sandals
5860,i want red sandals
5861,thirty eight
5862,i am a thirty eight
5863,i want a tee shirt
5864,i want
5865,i want a white t-shirt
5866,i need large
5867,how much is it
5868,that's too expensive
5869,this is too expensive
5870,i'm fine
5871,i want sandals
5872,i want blue sandals
5873,i am a forty-three
5874,i want a sweatshirt
5875,i want a brown sweatshirt
5876,i need large
5877,how much is this sweatshirt
5878,the sweatshirt is too expensive
5879,i'm fine
5880,i want boots
5881,i want white boots
5882,i am a thirty eight
5883,i want the sweatshirt
5885,i want a purple sweatshirt
5886,i need large
5887,this is too loose
5888,i don't want this sweatshirt
5889,i don't want this
5890,i am fine
5891,i want boots
5892,i want brown boots
5893,i am a forty-three
5894,i want trousers
5895,i want purple trousers
5896,i need large
5897,how much is it
5898,this is too expensive
5899,this is too expensive
5900,i'm fine
5901,i want boots
5902,i want blue boots
5903,i need blue boots
5904,can i have blue boots
5905,i am a thirty eight
5906,i want jeans
5908,i need large
5909,this is too boots
5910,this is too boots
5911,this is too blue boots
5912,i don't want these jeans
5913,i don't want this
5914,i am fine
5915,can i have boots
5916,i want boots
5917,i want red boots
5918,i am a thirty six
5919,i want a sweatshirt
5920,i want a purple sweatshirt
5921,i need large
5922,this is too
5923,this is too boots
5924,that is too loose
5925,i don't want this sweatshirt
5926,i don't want this
5927,i am fine
5928,i want sandals
5929,i want blue
5930,i want blue sandals
5931,i am a forty one
5932,i want a sweatshirt
5933,i want a white sweatshirt
5934,i need large
5935,how much is this sweatshirt
5936,how much does the sweatshirt cost
5937,how much is this sweatshirt
5938,the sweatshirt is too expensive
5939,can i have a tea please
5940,can i have a steak
5941,i would like the steak well done
5942,can i have carrots
5944,can i have pants
5945,i would like pants
5946,i would like the pants
5947,can i have the bill please
5948,i want to pay with visa
5949,can i have a tea please
5950,can i have the steak please
5951,i would like the steak
5952,i would like the steak well done
5953,can i have a goulash soup
5954,a goulash soup please
5955,i would like the dessert card
5956,i would like the vanilla
5957,could i have the vanilla ice cream
5958,can i have the bill please
5959,i would like the bill
5960,i want to pay with credit card
5961,i would like to pay with credit card
5962,i would like a lemonade
5963,i would like the steak
5964,i would like my steak rare
5965,i would like a baked potato
5966,i would like the dessert menu
5967,i would like the apple pie
5968,i would like the bill
5969,i would like to pay with post card
5970,i would like a cola
5971,i would like a hamburger
5972,i would like my hamburger well done
5973,i would like carrots
5974,this is not what i ordered
5975,i that is not what i
5976,that is not what i ordered
5977,i would like a lemonade
5978,i would like the sunday roast
5979,i would like the sunday roast
5980,i would like my sunday roast rare
5981,i want carrots
5982,i would like the dessert menu
5983,i would like the apple pie
5984,i would like the bill
5985,i would like to pay with credit card
5986,i would like a tea
5987,i would like the steak
5988,i would like my steak medium
5989,i want purple jeans
5990,i would like the dessert menu
5991,i would like the apple pie
5992,i would like the bill
5993,i would like to pay with post card
5994,i want a cola
5995,i would like a cola
5996,i would like a cola
5997,i would like the steak
5998,i would like my steak well done
5999,i would like a goulash soup
6000,i would like the dessert menu
6001,i would like the carrots pie
6002,i would like the carrots pie
6003,i would like the carrots pie
6004,i would like the bill
6005,i would like to pay with credit card
6006,i want a ticket to westminster
6007,i want to pay with credit card
6008,i would like to pay with dollars
6009,i have smaller notes
6010,i want a ticket to westminster
6011,i would like to pay with credit card
6012,i would like to pay with dollars
6014,i have only large notes
6015,can i pay with credit card
6016,i would like to pay with credit card
6017,can i pay by credit card
6018,i want a ticket to green park
6019,i want to pay with credit card
6020,i would like to pay with credit card
6021,i would like to pay with pounds
6022,i have smaller notes
6023,i want a ticket to piccadilly circus
6024,i would like to pay with credit card
6025,i want a ticket to westminster
6026,i would like to pay with credit card
6027,i would like to pay with pounds
6028,i have smaller notes
6029,i want a ticket to notting hill
6030,i would like to pay with credit card
6031,where is the zoo
6032,where is the tower
6033,which bus can i pay
6034,which bus goes there
6035,this is near bank of england
6036,i would like to go
6037,where is the natural history museum
6038,where is big ben
6039,which bus goes there
6040,the tower is near tower bridge
6041,where is the british museum
6042,where is big ben
6043,which bus goes there
6044,the tower is near tower bridge
6045,i would like to go
6046,i would like to go
6047,i want to go
6048,where is the tate modern
6049,where is the tower
6050,which bus goes there
6051,saint pauls cathedral is near bank of england
6052,where is the where is the tate modern
6053,where is the tate modern
6054,where is the piccadilly circus
6055,which bus can i take
6056,which bus goes there
6057,saint pauls cathedral is near bank of england
6058,where is the zoo
6059,where is madame tussauds
6060,which bus goes there
6061,big ben is next to the houses of parliament
6062,i would like to go
6063,i want to go
6064,i want to go
6065,where is the science museum
6066,where is the oxford street
6067,where is the oxford street
6068,which bus goes there
6069,marble arch is to hyde park
6070,marble arch is opposite to hyde park
6071,where is the tate modern
6072,where is the tower
6073,which bus goes there
6074,big ben is near the houses of parliament
6075,big ben is near the houses of parliament
6076,big ben is near the houses of parliament
6077,where is the national gallery
6078,where is piccadilly circus
6079,which bus goes there
6080,big ben is next to the big ben is near the houses of parliament
6081,big ben is next to the houses of parliament
6082,i want one musical ticket
6083,i would like a ticket for friday evening
6084,i want tickets for mamma mia
6085,i want one ticket for mamma mia
6086,i would like to sit in the front
6087,i would like to sit in the front
6089,i would like a ticket for the natural history museum
6090,four tickets
6091,i would like four tickets
6092,i would like two musical tickets
6094,i want to go this evening
6095,i would like two tickets for mamma mia
6096,i would like to sit in the ninth row
6098,i would like tickets for the british museum
6099,i would like three tickets
6100,i would like three musical tickets
6101,i would like a ticket for sunday evening
6102,i would like three tickets for billy elliot
6103,i would like to sit in the eighth row
6105,i need four tickets
6106,i would like four musical tickets
6107,i would like four musical tickets
6108,i would like to go at thursday evening
6109,i would like four tickets for wicked
6110,i would like four tickets for wicked
6111,i would like tickets for this musical
6112,i would like to sit in the eighth row
6113,i would like tickets for the natural natural history museum
6114,i would like four tickets
6115,i would like three musical tickets
6116,i would like three tickets for thursday evening
6117,i would like three tickets for the lion king
6118,i would like to sit in the fourth row
6119,i would like tickets for the natural natural history museum
6120,i would like two tickets
6121,i would like four musical tickets
6122,i would like to go at thursday evening
6123,i would like four tickets for starlight express
6124,i would like to sit in the seventh row
6127,i would like five tickets
6128,i would like two musical tickets
6129,i would like a ticket for tomorrow evening
6130,i would like two tickets for the lion king
6131,i would like to sit in the third row
6132,i would like tickets for madame tussauds
6133,i would like three musical tickets
6134,i would like a ticket for tuesday evening
6135,i would like three tickets for mamma mia
6136,i would like to sit in the first row
6137,i would like tickets for the science museum
6138,i would like three musical tickets
6139,i would like to go this evening
6140,i would like three tickets for the lion king
6141,i would like to sit in the first row
6142,i would like tickets for madame tussauds
6153,thank you
6154,thank you
6155,i want a room for four nights
6156,i want a single room
6157,i want a ticket to london
6158,i want to leave on friday evening
6159,my name is erica
6160,i am from portugal
6161,i am from portugal
6162,i want three tickets to london
6163,i want to leave at ten o'clock tomorrow
6164,my name is janet
6165,i from turkey
6166,i'm fine
6167,i want boots
6168,i want red boots
6169,forty four
6170,i am a forty four
6171,i want a shirt
6172,i want a purple shirt
6173,great
6174,i need a large
6175,how much cost
6176,i would buy with
6177,how much does it cost
6178,the shirt is too expensive ticket
6179,i want a fanta
6180,i want a steak
6181,i'd like the steak well done
6182,i want the daily soup
6183,i would like the soup of the day
6184,i would like the dessert menu
6185,can i have the apple pie
6186,can i have the bill please
6187,can i pay with visa
6188,a room for one week
6190,a room for one p m
6191,i am from australia
6192,blue boots
6193,a twin room please
6195,can i pay with visa
6196,can i pay with visa
6197,is there a lift
6198,where is madame tussauds
6200,i would like a room for three nights
6202,single room please
6203,a single room please
6204,with visa
6205,i pay with visa
6206,can i pay with euros
6208,can i pay with euros
6209,is there a lift
6210,where is the lift
6211,my bathroom is dirty
6212,i would like a hairdryer
6213,i'm good
6214,i would like a hairdryer
6215,room for one week please
6216,a single room please
6217,a single room please
6218,i would like a junior suite
6219,i would like a junior suite
6220,i would like a junior suite
6221,i want a
6223,for
6243,three room
6244,blue boots
6245,i have three row
6246,double room
6247,twin room
6248,i want room
6249,can i pay with credit card
6252,is there a fitness studio
6253,is there a fitness studio
6254,is there a gym
6255,my name is paul
6257,my name is paolo
6258,i'm from italy
6259,the capital of italy is rome
6260,the capital city from italy is rome
6262,i've got three sisters
6263,a room holidays
6264,i go in holidays
6265,that's my passport
6266,that's my passport
6267,would
6268,i'm good
6269,room
6274,i want boots
6279,i want a room for two nights
6280,i want a room for two nights
6281,a twin room please
6282,a twin room please
6283,a twin room please
6284,can i pay with credit card
6285,is there a grocery store
6286,i would like a room for four nights
6287,i would like a single room
6288,i would like a single room
6289,i would like a single room
6290,can i pay with mastercard
6291,is there a swimming pool
6292,is there a swimming pool
6293,is there a swimming pool
6294,where is
6295,where is the swimming pool
6296,where is the swimming pool
6299,i would like a room for three nights
6300,i would like a single room please
6301,i would like a single room please
6302,can i pay with visa
6303,is there a swimming pool
6304,i would like a room for four nights
6305,a twin room please
6306,a twin room please
6307,can i pay with credit card
6308,is there a lift
6309,where is the lift
6310,i would like a room for five nights
6311,i would like a twin room
6312,i want to pay with visa
6313,you can't use help at the silver level
6314,you can't use help at the silver level
6318,single room
6325,i would like a sparkling water
6326,i want a steak
6327,i want a steak
6328,i want the steak
6329,i want my steak blue
6330,i would like my steak blue
6332,i would like a steak potato
6333,i would like a baked potato
6334,i would like the dessert card
6335,could i see the dessert menu
6336,i would like the chocolate ice cream
6337,i would like the check
6338,can i pay with visa
6339,can i have two large
6340,i would like go
6342,i'm a ticket to green park
6343,i need a ticket to green park
6344,i would like to pay by post card
6345,i would like to pay by post card
6346,can i pay with euros
6347,i would like a ticket to piccadilly circus
6349,i would like to have a ticket to piccadilly circus
6350,i want to pay with credit card
6351,can i pay with credit card
6352,i would like to have a ticket to green park
6353,i want to pay with credit card
6354,can i pay with credit card
6355,can i pay with euros
6356,i would like the pay
6364,i need a ticket to green park
