Id,RecResult,Confidence
5873,is there a hotel bar,1.0 1.0 1.0 1.0 1.0
5874,who is the hotel bar,1.0 1.0 1.0 1.0 1.0
5876,i would like a room for two nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5877,i would like a room for two nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5878,a single room,1.0 1.0 1.0
5880,i would like to pay with by visa,1.0 1.0 1.0 1.0 1.0 0.48 0.92 1.0
5881,is there a lift,1.0 1.0 1.0 0.97
5882,can i have a lift,0.98 0.99 1.0 1.0 1.0
5883,i am from italy,1.0 1.0 1.0 1.0
5884,the capital of italy is rome,0.95 1.0 1.0 1.0 0.91 0.9
5885,the three younger brothers,0.8 0.98 0.85 0.96
5886,i am on holiday,0.9 0.9 0.81 0.99
5887,i want a room for four nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0
5888,single room,1.0 1.0
5889,a single room,1.0 1.0 1.0
5890,can i pay by mastercard,1.0 1.0 1.0 0.99 0.99
5893,i like to have a room for three nights,1.0 0.65 1.0 1.0 1.0 1.0 1.0 0.93 1.0
5894,i want to have a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9 1.0
5895,i want to like a room for three nights,1.0 1.0 0.85 1.0 1.0 1.0 1.0 0.98 1.0
5896,i'm fine,0.97 1.0
5897,i want boots,1.0 1.0 1.0
5898,i want red boots,1.0 1.0 0.98 1.0
5899,thirty nine,1.0 1.0
5900,thirty nine,1.0 1.0
5901,thirty nine,1.0 1.0
5902,i want a ticket i want a sweatshirt,1.0 1.0 0.95 0.94 1.0 1.0 1.0 0.7
5903,i want a three turkey please,0.97 1.0 0.52 0.61 0.52 0.35
5904,i want a green sweatshirt,1.0 0.99 0.91 0.95 0.86
5905,large,1.0
5906,i need a large,1.0 1.0 0.85 1.0
5907,how much is it,1.0 1.0 0.88 0.92
5910,i'm fine,0.9 1.0
5911,i want boots,1.0 1.0 1.0
5912,i want brown boots,0.88 0.99 1.0 1.0
5913,thirty,0.53
5915,i need number forty,1.0 1.0 0.96 1.0
5916,i want three tickets,1.0 1.0 0.96 0.95
5917,i want a sweet shirt,1.0 1.0 1.0 0.96 1.0
5918,i want i want to pay by post card,0.95 0.95 0.99 0.98 0.77 1.0 1.0 0.89 1.0
5920,i want a fanta,1.0 1.0 0.88 0.88
5921,i want a steak,1.0 1.0 0.97 1.0
5922,i want my steak blue,1.0 1.0 1.0 1.0 1.0
5923,i want my steak blue,1.0 1.0 1.0 1.0 1.0
5926,i want on,1.0 1.0 0.89
5929,i want a carbonated water,1.0 0.65 0.77 1.0 1.0
5930,i want a steak,1.0 1.0 0.9 1.0
5931,hairdryer,0.99
5933,i want my steak rare,1.0 0.99 1.0 1.0 1.0
5934,i want one carrots,1.0 1.0 0.8 0.76
5936,i want o'clock,1.0 1.0 0.56
5937,i want a steak,1.0 1.0 0.99 1.0
5938,i want the steak,1.0 1.0 0.71 1.0
5939,i want my steak,1.0 1.0 0.79 0.95
5940,i want my steak blue,1.0 1.0 1.0 1.0 1.0
5941,can i have a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 0.92 1.0
5942,a single room,1.0 0.99 1.0
5943,can i have a single room,1.0 1.0 1.0 1.0 1.0 1.0
5944,can i have a room for six nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5945,i like a suite,0.99 0.94 1.0 0.97
5946,i would like to pay with credit card,1.0 1.0 1.0 1.0 1.0 0.97 1.0 1.0
5947,is there a hotel bar,1.0 1.0 1.0 1.0 1.0
5948,where is the hotel bar,0.9 0.95 0.95 1.0 1.0
5949,where is the hotel bar,1.0 1.0 1.0 1.0 1.0
5950,can i have a room for six nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5951,can i have a single room,1.0 1.0 1.0 1.0 0.99 1.0
5952,can i have a single room,1.0 1.0 1.0 1.0 0.99 1.0
5954,i want a room for one week,1.0 1.0 1.0 1.0 1.0 1.0 1.0
5955,i going,0.8 0.74
5956,how much you,0.97 0.89 0.8
5957,i'm good thank,0.9 1.0 0.94
5958,i want boots,1.0 0.48 0.91
5960,i where boots,0.78 0.58 0.67
5961,i want red boots please,1.0 0.92 1.0 1.0 1.0
5962,i where where boots,0.9 0.54 0.45 0.97
5963,red boots please,0.93 0.67 1.0
5965,i want a thirty eight,1.0 1.0 0.99 1.0 1.0
5966,i will pants,1.0 0.81 0.99
5967,i need some sandals,0.94 0.93 0.76 0.96
5968,i'd like some carrots,0.63 0.63 0.93 0.98
5969,i need a ticket to green park,1.0 1.0 1.0 1.0 1.0 1.0 1.0
5970,can i pay with mastercard,1.0 1.0 1.0 0.77 0.97
5971,can i pay with dollars,1.0 1.0 1.0 0.98 0.95
5972,i need a ticket to trafalgar,1.0 1.0 1.0 1.0 1.0 1.0
5973,i would like to pay with visa,1.0 1.0 1.0 1.0 1.0 0.8 1.0
5974,i would like a ticket to piccadilly circus,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.99
5975,i would like a ticket to the sandals,1.0 1.0 1.0 1.0 1.0 0.95 0.79 0.89
5976,i would like a ticket to piccadilly circus,1.0 0.92 0.92 1.0 1.0 1.0 1.0 0.99
5977,can i pay by credit card,1.0 1.0 1.0 1.0 1.0 1.0
5978,i need a ticket to green park,1.0 1.0 1.0 1.0 1.0 1.0 1.0
5979,can i pay by credit card,1.0 1.0 1.0 1.0 1.0 1.0
5980,can i pay with swiss francs,1.0 1.0 1.0 1.0 0.99 1.0
5981,i would like a sparkling water,1.0 1.0 1.0 1.0 1.0 1.0
5982,i would like a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5983,i would a room for three nights,1.0 0.84 1.0 1.0 1.0 0.84 0.85
5984,i want a room for three nights,1.0 0.99 1.0 1.0 1.0 1.0 1.0
5985,i want a room for three nights,1.0 0.59 1.0 1.0 1.0 1.0 1.0
5986,i want a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 0.99
5987,one room for seven nights three the six nights,0.5 1.0 1.0 0.77 0.93 1.0 0.36 1.0 1.0
5988,row,0.51
5989,can i have a room for the next six nights,1.0 1.0 0.99 1.0 1.0 0.99 0.85 0.89 0.72 0.89
5990,i want a room can i have a room for two nights,1.0 0.84 0.5 0.45 0.98 0.97 1.0 1.0 0.98 0.99 0.51 0.99
5991,no,0.99
5992,i want a room for a the have,1.0 0.53 1.0 1.0 1.0 0.96 0.86 0.35
5993,i would a room for four nights,0.89 0.63 1.0 1.0 1.0 1.0 1.0
5994,i want a room for four nights,0.93 0.47 1.0 1.0 1.0 1.0 1.0
5995,can i have a room for four nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5996,can i have a double room,1.0 1.0 1.0 1.0 1.0 1.0
5998,a twin room please,1.0 0.99 0.96 0.77
6000,a room for mastercard pay,0.66 0.6 0.58 0.95 0.5
6001,i would pay with mastercard please,1.0 0.98 0.89 1.0 0.93 0.7
6002,i would like a junior suite,1.0 1.0 1.0 1.0 1.0 1.0
6003,have it a fitness studio,0.63 0.47 0.87 1.0 0.9
6004,i have a fitness studio,0.61 0.99 0.77 1.0 1.0
6005,four older sisters,0.71 0.92 0.79
6006,where is the fitness studio,1.0 0.92 0.96 1.0 1.0
6007,where is the fitness centre,1.0 1.0 1.0 0.99 0.95
6008,can i have a room for one week,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
6009,can i have a suite,0.99 0.99 0.99 1.0 1.0
6011,would i pay with credit card,1.0 0.89 1.0 0.98 1.0 1.0
6012,i have a fitness studio,0.46 0.85 0.72 1.0 1.0
6013,where is a fitness centre,0.44 0.48 0.52 0.97 0.93
6014,where is the fitness centre,1.0 1.0 1.0 1.0 0.96
6015,can i have four tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 0.99
6016,i would a room africa,1.0 0.86 0.97 0.57 0.48
6017,can i have two tickets to london,0.95 0.97 0.95 0.92 1.0 0.98 1.0
6018,can i have two tickets to london,1.0 1.0 1.0 0.94 1.0 1.0 1.0
6019,i want to leave tomorrow at one p m,1.0 1.0 1.0 1.0 1.0 0.9 0.63 0.79 0.79
6020,my name is michelle,0.99 0.99 1.0 0.99
6021,i'm from turkey,0.95 1.0 1.0
6022,i want a ticket to row,1.0 0.69 0.98 0.86 0.77 0.61
6023,can i pay by holidays,1.0 1.0 0.56 0.41 0.39
6024,can i have tomorrow,1.0 1.0 0.42 0.51
6025,i want to leave on friday evening,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6026,my name is michelle,1.0 0.99 0.99 1.0
6027,i'm from america,0.61 1.0 1.0
6028,my name is maddalena,1.0 1.0 1.0 1.0
6029,i'm from turkey,0.97 1.0 1.0
6030,the capital of turkey is ankara,1.0 1.0 0.95 0.91 0.73 0.73
6031,i would like a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
6032,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
6033,i would pay with credit card,1.0 0.93 1.0 1.0 1.0 1.0
6034,can i pay by credit card,1.0 1.0 1.0 1.0 1.0 1.0
6035,is there a fitness centre,1.0 1.0 1.0 1.0 0.96
6036,where is the fitness centre,1.0 1.0 1.0 0.97 0.94
6037,i would like to leave on saturday afternoon,1.0 1.0 1.0 1.0 1.0 1.0 0.9 1.0
6038,my name is mona,1.0 1.0 1.0 0.86
6040,i am from switzerland,0.89 0.89 1.0 1.0
6041,my name is paul,1.0 1.0 1.0 0.99
6042,i'm from switzerland,0.87 1.0 1.0
6043,the capital of switzerland is bern,1.0 1.0 1.0 1.0 1.0 0.74
6044,i have four younger sisters,1.0 1.0 1.0 1.0 1.0
6045,i am on holidays,1.0 1.0 1.0 0.97
6046,this is my passport,1.0 1.0 1.0 1.0
6049,can i pay by credit card,1.0 1.0 1.0 1.0 1.0 1.0
6050,i pay with swiss francs,1.0 1.0 1.0 1.0 1.0
6051,i want a room for one week,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6052,i would like a suite,1.0 1.0 1.0 1.0 1.0
6053,i would like a suite,1.0 1.0 1.0 1.0 1.0
6054,i would like a suite,1.0 1.0 1.0 1.0 1.0
6055,can i pay by credit card,1.0 1.0 1.0 1.0 1.0 1.0
6057,is there a grocery store,1.0 1.0 1.0 1.0 1.0
6059,i would like a room for five nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
6060,i would like a room for five nights,1.0 0.99 0.99 1.0 1.0 1.0 1.0 1.0
6061,i would like a room for five nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
6062,a single room,0.92 1.0 1.0
6063,a single room please,0.98 1.0 1.0 1.0
6065,i would like to pay by post card,1.0 1.0 1.0 1.0 1.0 1.0 0.99 0.99
6067,is there a fitness centre,1.0 1.0 1.0 1.0 0.96
6068,where is the fitness studio,1.0 1.0 1.0 1.0 1.0
6069,where is the fitness centre,1.0 1.0 1.0 1.0 0.96
6070,i want a room for six nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6071,i have a twin room,1.0 0.82 0.89 1.0 1.0
6073,a twin room please,1.0 1.0 1.0 1.0
6074,can i pay by credit card,1.0 1.0 1.0 1.0 1.0 1.0
6077,is there a hotel bar,1.0 1.0 1.0 1.0 1.0
6078,where is the hotel bar,1.0 1.0 1.0 1.0 1.0
6079,i want a room for five nights,1.0 0.99 1.0 1.0 1.0 1.0 1.0
6080,a twin room please,0.99 1.0 1.0 1.0
6082,can i pay with euros,1.0 1.0 1.0 1.0 0.95
6083,can i pay with euros please,1.0 1.0 1.0 1.0 0.99 1.0
6084,can i pay with euros please,1.0 1.0 1.0 1.0 1.0 1.0
6085,is there a hotel bar,1.0 1.0 1.0 1.0 1.0
6086,i want a room for seven nights,1.0 1.0 1.0 1.0 1.0 0.98 1.0
6087,i want a single room please,1.0 0.66 1.0 1.0 1.0 1.0
6089,can i buy cost postcard,1.0 1.0 0.41 0.82 0.81
6090,is there a hotel bar,1.0 1.0 0.99 0.95 0.89
6091,where is the hotel bar,1.0 1.0 1.0 1.0 1.0
6092,i would like a room for three nights please,1.0 0.83 0.58 1.0 1.0 1.0 0.99 1.0 1.0
6093,i want a single room please,0.99 0.51 0.97 1.0 1.0 1.0
6094,i want a single room,1.0 0.9 0.98 1.0 1.0
6095,i want a single room,1.0 1.0 0.99 1.0 1.0
6096,can i pay by credit card,1.0 1.0 0.87 0.87 1.0 1.0
6097,is there a hotel bar,1.0 1.0 1.0 1.0 1.0
6098,where is the hotel bar,1.0 1.0 1.0 1.0 1.0
6099,i want a ticket to london,1.0 1.0 1.0 1.0 1.0 1.0
6100,i would like one ticket to london,1.0 1.0 1.0 0.93 0.93 1.0 1.0
6101,i would like to leave tomorrow,1.0 1.0 1.0 1.0 1.0 1.0
6102,my name is andrew,1.0 1.0 1.0 0.98
6103,i am from england,0.59 0.59 1.0 1.0
6104,i would like a ticket to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6105,i want to leave at eleven o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
6106,my name is maddalena,1.0 1.0 1.0 1.0
6107,i'm from australia,0.94 1.0 1.0
6108,i would a room for two nights,1.0 0.48 1.0 1.0 1.0 0.99 1.0
6109,i want a room for two nights,1.0 1.0 1.0 1.0 1.0 0.97 1.0
6110,i want a single room please,1.0 1.0 1.0 1.0 1.0 1.0
6111,can i pay with credit card,1.0 1.0 1.0 0.96 1.0 1.0
6112,i like a hamburger,0.55 0.51 0.95 0.92
6114,where is the hotel bar,0.98 0.99 0.98 1.0 1.0
6115,i want a room for three nights,1.0 0.76 1.0 1.0 1.0 1.0 1.0
6116,i have a junior suite please,0.78 0.4 0.65 1.0 1.0 1.0
6117,can i pay with mastercard please,1.0 1.0 0.85 0.75 0.99 0.95
6118,is there a hamburger,1.0 1.0 0.99 0.85
6119,where is the hotel bar,1.0 1.0 1.0 1.0 1.0
6121,i want a room for five nights,1.0 0.66 1.0 1.0 1.0 1.0 1.0
6122,nights,0.24
6123,please,0.86
6124,i want a single room please,0.79 0.55 1.0 1.0 1.0 1.0
6125,can i pay by credit card,1.0 1.0 0.82 0.54 1.0 0.99
6126,is there a hotel hamburger,1.0 1.0 0.89 0.49 0.51
6127,i need a room for three nights,1.0 0.57 0.79 1.0 1.0 1.0 1.0
6128,i need a twin room,0.99 0.97 0.97 0.97 1.0
6129,i want a twin room please,1.0 1.0 1.0 1.0 1.0 1.0
6130,i want a twin room,1.0 1.0 1.0 1.0 1.0
6131,where can i pay a credit card,0.69 1.0 1.0 0.43 0.39 1.0 1.0
6132,is there a hamburger,1.0 1.0 1.0 0.91
6133,where is a hamburger,1.0 1.0 0.9 0.97
6136,i a junior suite please,0.9 0.64 1.0 1.0 1.0
6137,can i pay with credit card,1.0 1.0 0.74 0.73 1.0 0.97
6138,there a hamburger row,0.99 0.9 0.99 0.26
6139,is there a hotel bar,1.0 1.0 0.99 0.83 0.83
6140,i want a room for six nights please,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.87
6142,i would like a room for two nights,1.0 0.88 0.7 1.0 1.0 1.0 1.0 1.0
6143,a twin zimmer,1.0 1.0 1.0
6144,a twin zimmer,1.0 1.0 0.98
6145,a twin room,1.0 1.0 1.0
6146,can i buy credit card,1.0 1.0 0.72 1.0 0.99
6147,can i pay with dollars,1.0 1.0 1.0 0.97 1.0
6148,is there a supermarket,1.0 1.0 1.0 1.0
6149,is there a supermarket,1.0 1.0 0.81 1.0
6150,is there the supermarket,1.0 1.0 0.87 1.0
6151,i want a room for two nights please,1.0 0.59 1.0 1.0 1.0 1.0 1.0 0.53
6152,i would like a twin room,1.0 0.58 0.46 0.97 1.0 1.0
6153,can i buy credit card,1.0 1.0 0.51 1.0 0.99
6154,is there a supermarket,1.0 1.0 1.0 1.0
6155,is there a supermarket,1.0 1.0 1.0 1.0
6156,is there a fuck you,1.0 1.0 1.0 0.5 0.45
6157,i want a room for three nights,1.0 0.98 1.0 1.0 1.0 1.0 1.0
6158,i would like a single room,1.0 0.68 0.58 0.99 1.0 1.0
6159,can i pay with credit card,1.0 1.0 0.88 0.47 1.0 1.0
6160,is there a lemon to have room,1.0 1.0 0.61 0.32 0.57 0.71 0.75
6161,is there the shop,1.0 1.0 0.95 0.55
6163,i would a room for five nights,1.0 0.95 1.0 1.0 1.0 0.98 1.0
6164,i would a room for five nights,1.0 0.51 1.0 1.0 1.0 1.0 1.0
6165,i would like a double room,1.0 0.78 0.76 1.0 1.0 1.0
6166,can i pay with credit card,1.0 1.0 0.98 0.87 1.0 1.0
6167,can i pay with dollars,1.0 1.0 1.0 0.98 1.0
6168,i'm a food store,0.21 0.87 0.94 0.96
6169,is there the food store,1.0 1.0 0.99 1.0 1.0
6170,is there the food store,0.98 0.99 0.82 1.0 1.0
6171,i would a room for three four nights,1.0 0.64 1.0 1.0 1.0 0.93 0.98 1.0
6172,i would like a twin room,1.0 0.9 0.67 0.84 1.0 1.0
6173,can i pay with credit card,1.0 1.0 0.99 1.0 1.0 1.0
6174,is there a hotel restaurant,1.0 1.0 0.99 1.0 1.0
6175,i would a room for seven nights,1.0 0.99 1.0 1.0 1.0 1.0 1.0
6176,i want a junior suite,1.0 0.98 1.0 1.0 1.0
6177,can i buy visa card,1.0 1.0 0.45 1.0 1.0
6178,can i pay by visa,1.0 1.0 0.9 0.47 1.0
6179,is there a fitness centre,0.82 0.82 0.49 1.0 0.96
6180,where is the fitness centre,1.0 1.0 1.0 0.98 0.94
6181,brown the fitness centre,0.84 1.0 1.0 0.96
6182,where is the fitness centre,0.95 0.56 1.0 1.0 0.96
6183,i would a room for seven nights,1.0 0.99 1.0 1.0 1.0 1.0 1.0
6184,i want a double room,1.0 0.7 1.0 1.0 1.0
6185,i want a double room,1.0 0.53 1.0 1.0 1.0
6186,can i pay with credit card,1.0 1.0 0.94 0.75 1.0 1.0
6187,can i pay with dollars,1.0 1.0 1.0 1.0 1.0
6188,is there the fitness studio,0.83 0.83 0.75 1.0 1.0
6189,where is the fitness studio,1.0 1.0 1.0 1.0 1.0
6190,i want two tickets to london,1.0 0.99 0.95 0.95 1.0 1.0
6191,i want to leave on wednesday evening,1.0 1.0 1.0 1.0 1.0 0.89 1.0
6192,my name is patrick,1.0 1.0 1.0 1.0
6193,i'm from austria,0.72 1.0 0.96
6194,i want a ticket to london,1.0 1.0 1.0 1.0 1.0 1.0
6195,i want a ticket to london,1.0 0.93 0.99 0.99 1.0 1.0
6197,i want to leave tomorrow at one o'clock,0.92 1.0 1.0 1.0 1.0 0.57 0.99 1.0
6198,my name is andy,1.0 1.0 1.0 0.56
6199,my name is andy,1.0 1.0 1.0 1.0
6200,i'm from austria,0.92 1.0 0.98
6201,i would like two tickets to london,0.99 1.0 1.0 1.0 1.0 1.0 1.0
6202,i want to leave tomorrow at eight o'clock,1.0 1.0 1.0 1.0 1.0 1.0 0.99 1.0
6203,i would like to leave tomorrow at five o'clock,1.0 0.7 0.59 1.0 1.0 1.0 0.96 1.0 1.0
6204,my name is andy,1.0 1.0 1.0 0.95
6205,i'm from austria,0.66 1.0 0.98
6206,i'm from austria,0.91 1.0 0.98
6207,i would like a ticket to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6208,i would like one ticket to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6209,i want to leave tomorrow at seven o'clock,1.0 0.99 0.99 1.0 1.0 0.97 0.93 1.0
6210,my name is silvia,1.0 1.0 1.0 1.0
6211,i'm from turkey,0.99 1.0 0.93
6212,i would like one ticket to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6213,i want a ticket to london,1.0 1.0 1.0 1.0 1.0 1.0
6214,i would like to leave on friday,1.0 1.0 1.0 1.0 1.0 1.0 0.76
6215,my name is paolo,1.0 1.0 1.0 0.86
6216,i'm from canada,0.94 1.0 1.0
6217,i would like one ticket to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6218,i want to leave tomorrow at seven o'clock,1.0 1.0 1.0 1.0 1.0 0.99 0.97 1.0
6219,my name is patrick,1.0 1.0 1.0 1.0
6220,my name is patrick,1.0 1.0 1.0 1.0
6221,i'm from australia,0.77 1.0 1.0
6222,i'm from australia,0.87 1.0 1.0
6223,i would like one ticket to london,1.0 1.0 1.0 1.0 0.79 1.0 1.0
6224,i want to leave tomorrow at four o'clock,1.0 1.0 1.0 1.0 1.0 1.0 0.99 1.0
6225,my name is mona,1.0 1.0 1.0 1.0
6226,i'm from america,0.6 1.0 1.0
6227,i want two tickets to london,1.0 1.0 1.0 1.0 1.0 1.0
6228,i want to leave on wednesday evening,1.0 1.0 1.0 1.0 0.94 1.0 1.0
6229,i would like to leave at wednesday evening,1.0 1.0 1.0 1.0 1.0 0.98 1.0 1.0
6230,my name is erica,1.0 1.0 1.0 1.0
6231,i'm from america,0.67 1.0 1.0
6232,my name is can i have a,1.0 1.0 1.0 0.7 0.7 0.68 0.45
6233,i'm from france,0.95 1.0 1.0
6234,i am from france,0.96 0.96 1.0 0.99
6235,the capital of france is paris,1.0 1.0 1.0 1.0 1.0 1.0
6236,i have got three younger sisters,0.56 0.55 1.0 1.0 1.0 1.0
6237,i have three younger sisters,1.0 1.0 1.0 1.0 1.0
6238,i am on holidays,0.67 0.67 0.75 0.84
6239,this is my passport,1.0 1.0 1.0 1.0
6240,this is my passport,1.0 1.0 1.0 1.0
6241,my name is erica,1.0 1.0 1.0 1.0
6243,i am from france,0.99 0.99 1.0 0.78
6244,the capital of france is paris,1.0 1.0 1.0 1.0 1.0 1.0
6245,capital of france is paris,1.0 1.0 1.0 1.0 1.0
6246,i have four younger sisters,1.0 1.0 1.0 1.0 1.0
6247,i have four younger sisters,1.0 1.0 1.0 1.0 1.0
6248,i am on holidays,1.0 1.0 1.0 0.99
6249,this is my passport,1.0 1.0 1.0 1.0
6251,i'm from france,0.79 1.0 1.0
6252,i'm from france,0.77 1.0 1.0
6253,the capital city of france is paris,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6254,i have two younger brothers,1.0 1.0 1.0 1.0 1.0
6255,holidays,1.0
6256,i am on holidays,1.0 1.0 0.94 1.0
6257,this is my passport,0.97 1.0 1.0 1.0
6258,my name is erica,1.0 1.0 1.0 1.0
6259,i am from france,0.51 0.5 1.0 0.98
6260,the capital city of france is paris,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6261,i have one sister,1.0 1.0 1.0 1.0
6263,i am on holidays,0.99 0.99 1.0 1.0
6264,this is my passport,1.0 1.0 1.0 1.0
6265,this is my passport,0.82 0.96 1.0 0.99
6266,this is my passport a,0.97 1.0 1.0 1.0 0.55
6267,my name is barbara,1.0 1.0 1.0 1.0
6268,i'm from france,0.82 1.0 1.0
6269,the capital city of france is paris,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6270,i have three brothers boots,1.0 1.0 1.0 1.0 0.61
6271,i have three brothers,1.0 1.0 1.0 1.0
6274,i'm on holidays,0.7 0.98 1.0
6275,this is my passport,1.0 1.0 1.0 1.0
6276,my name is maddalena,1.0 1.0 1.0 1.0
6277,i'm from france,0.98 1.0 1.0
6278,the capital of france is paris,1.0 1.0 1.0 1.0 1.0 1.0
6279,i have two older brothers,1.0 1.0 1.0 1.0 1.0
6280,i am on holidays,1.0 1.0 0.99 1.0
6281,this is my passport,1.0 1.0 1.0 1.0
6282,my name is one room jeans,1.0 1.0 1.0 0.31 1.0 0.63
6283,my name is nine room pay with with my name is i'm room,1.0 1.0 1.0 0.6 1.0 0.72 0.5 0.82 1.0 1.0 1.0 0.71 0.92
6284,i am from francs room,0.74 0.74 0.95 0.87 0.69
6285,the capital city of france is paris,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6286,the capital city of france is paris,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6287,i have one older sister,1.0 1.0 1.0 1.0 0.96
6288,i am on holidays,1.0 1.0 1.0 1.0
6289,this is my passport,1.0 1.0 1.0 1.0
6290,my name is on room,1.0 1.0 1.0 0.71 0.99
6291,i'm from france,0.96 1.0 1.0
6292,the capital city of france is paris,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6293,i have two older sisters,1.0 1.0 1.0 1.0 1.0
6294,i am on holidays,1.0 1.0 1.0 1.0
6295,this is my passport,1.0 1.0 1.0 1.0
6298,i'm from france,0.89 1.0 0.99
6299,the capital city of france is paris,1.0 1.0 1.0 1.0 1.0 1.0 1.0
6300,i have two younger brothers,1.0 1.0 1.0 1.0 1.0
6301,i am on holidays,0.95 0.92 0.97 0.99
6303,this is my passport,1.0 1.0 1.0 1.0
6305,my name is janet london a red room one hamburger through oh my please,1.0 1.0 1.0 0.63 0.33 1.0 0.98 0.74 0.72 0.61 0.53 0.55 0.79 0.31
6308,i am from france,0.53 0.5 0.96 0.91
6309,the capital city of france is paris,0.99 1.0 1.0 1.0 1.0 1.0 1.0
6310,i have three younger brothers,0.88 1.0 1.0 1.0 1.0
6311,i am on holidays,0.92 0.92 1.0 1.0
6312,this is my passport,1.0 1.0 1.0 0.99
6313,my name is jack,1.0 1.0 1.0 0.99
6314,my name is jack,1.0 1.0 1.0 0.98
6315,my name is andy,1.0 1.0 1.0 0.99
6316,i am from austria,0.71 0.71 1.0 0.87
6320,i have two younger brothers,1.0 1.0 1.0 1.0 1.0
6321,i am on holidays,1.0 1.0 1.0 1.0
6322,this is my passport,1.0 1.0 1.0 1.0
6323,i would like one ticket to trafalgar square,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
6326,i want a ticket on sunday evening,1.0 1.0 1.0 0.89 0.43 1.0 1.0
