,ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count
nbest.2018-testset-withlma-1best-21-0.0_39709-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39710-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39714-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39718-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39719-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39720-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39721-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39722-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39726-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39727-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39728-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39729-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39732-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39740-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39741-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39742-1,0,0,0,0,0,0,1,0,0,1,0
nbest.2018-testset-withlma-1best-21-0.0_39744-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39747-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39750-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39751-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39752-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39754-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39756-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39758-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39759-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39763-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39764-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39767-1,0,0,0,0,0,0,1,0,0,1,0
nbest.2018-testset-withlma-1best-21-0.0_39768-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39769-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39770-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39772-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39774-1,0,0,0,0,0,0,1,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39777-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39779-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39782-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39785-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39787-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39789-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39791-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39792-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39794-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39795-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39798-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39801-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39802-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39803-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39804-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39806-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39807-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39808-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39809-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39810-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39812-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39813-1,0,0,0,0,0,0,1,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39817-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39823-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39824-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39825-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39826-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39827-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39831-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39832-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39833-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39834-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39836-1,0,0,1,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39840-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39841-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39842-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39846-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39849-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39850-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39854-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39855-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39856-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39857-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39859-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39860-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39861-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39862-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39863-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39864-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39866-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39867-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39869-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39871-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39872-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39875-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39876-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39877-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39878-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39879-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39880-1,0,0,1,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39881-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39882-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39885-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39886-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39887-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39888-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39890-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39891-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39894-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39897-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39898-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39899-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39901-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39902-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39904-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39905-1,0,0,0,0,0,0,1,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39906-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39912-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39913-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39915-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39916-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39920-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39922-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39923-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39925-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39930-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39934-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39937-1,0,0,0,1,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39938-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39941-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39942-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39943-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39945-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39948-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39950-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39951-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39952-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39953-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39954-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39958-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39960-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39963-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39964-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39965-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39968-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39972-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39973-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39974-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39977-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39979-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39982-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39984-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39986-1,0,0,0,0,0,0,1,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39988-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39990-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39993-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39994-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39996-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39998-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39999-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40000-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40001-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40003-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_40005-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_40006-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40007-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40012-1,0,0,0,0,0,0,0,0,0,1,0
nbest.2018-testset-withlma-1best-21-0.0_40015-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40017-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40019-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40020-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40021-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40022-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40023-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40024-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40027-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40028-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40030-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40033-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40036-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40037-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40040-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40045-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_40046-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_40051-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40052-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40053-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40054-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40055-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40056-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40059-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40060-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40061-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40065-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40066-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40067-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40068-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_40069-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40071-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40073-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40074-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40075-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40077-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40078-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40079-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40080-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_40081-1,0,0,0,0,0,0,0,0,0,0,0
